evaluation_id,order_id,rating,content,evaluation_time
48749,2,5,太香喷喷了，出乎意料！,2024-12-02 14:01:19
48750,3,5,,2024-12-02 19:01:23
48751,4,4,,2024-12-02 19:01:34
48752,6,5,送餐员特别友好，服务真的超级棒。,2024-12-01 23:02:10
48753,7,4,,2024-12-01 23:02:14
48754,9,5,,2024-12-02 10:02:35
48755,10,5,包装整洁，餐具干净，细节很用心。,2024-12-02 20:03:21
48756,11,4,菜品香浓，适中，我非常满足！,2024-12-03 09:03:45
48757,13,5,送餐员礼貌，服务真的超级棒。,2024-12-02 23:04:17
48758,15,4,送餐员礼貌，服务真的超级棒。,2024-12-03 02:05:11
48759,17,5,,2024-12-03 02:05:32
48760,18,4,,2024-12-02 16:06:02
48761,19,4,,2024-12-02 14:07:56
48762,20,3,,2024-12-03 11:08:51
48763,21,5,,2024-12-02 03:09:03
48764,22,5,,2024-12-02 19:10:03
48765,23,1,,2024-12-02 03:10:06
48766,24,4,,2024-12-02 18:11:45
48767,25,4,,2024-12-01 21:11:50
48768,26,2,,2024-12-01 16:12:23
48769,28,5,,2024-12-03 04:12:59
48770,30,5,太好吃了，出乎意料！,2024-12-03 10:13:57
48771,31,4,价格超值，超高性价比，性价比超高！,2024-12-02 03:14:05
48772,32,5,,2024-12-02 21:14:22
48773,34,4,,2024-12-02 14:17:38
48774,36,5,配送非常快，服务态度专业，体验超出预期。,2024-12-02 19:18:56
48775,38,4,配送非常快，服务态度热情，体验完美。,2024-12-02 17:19:18
48776,39,4,,2024-12-01 15:19:42
48777,41,2,配送耽误用餐，服务差，体验不愉快。,2024-12-02 14:20:07
48778,43,4,价格合理，超满意，性价比超高！,2024-12-02 13:21:01
48779,44,5,,2024-12-01 13:21:31
48780,45,5,菜品鲜美，适中，我非常满足！,2024-12-02 14:22:19
48781,46,4,,2024-12-02 18:22:53
48782,47,5,,2024-12-02 12:23:38
48783,48,4,太惊艳了，很惊喜！,2024-12-02 19:24:10
48784,49,5,价格便宜实惠，物超所值，性价比超高！,2024-12-03 01:24:17
48785,51,4,,2024-12-03 10:24:28
48786,52,5,,2024-12-02 08:24:33
48787,54,3,菜品太咸，感觉缩水了，让我很不满。,2024-12-02 01:25:22
48788,55,4,,2024-12-01 16:25:30
48789,56,5,价格便宜实惠，不亏，性价比超高！,2024-12-02 18:26:56
48790,57,1,菜品寡淡，分量少，让我很不满。,2024-12-03 08:27:12
48791,58,4,,2024-12-02 21:27:13
48792,60,5,,2024-12-02 21:28:30
48793,63,4,价格划算，物超所值，性价比超高！,2024-12-02 07:29:29
48794,64,5,餐厅环境温馨，用餐氛围让人放松。,2024-12-03 09:29:55
48795,65,4,太惊艳了，很惊喜！,2024-12-02 12:30:01
48796,66,5,第一次尝试，让我惊讶，会再来光顾。,2024-12-03 00:30:15
48797,68,5,包装严密，餐具齐全，细节专业水准。,2024-12-01 22:30:39
48798,69,5,配送准时，服务态度热情，体验超出预期。,2024-12-03 03:31:22
48799,70,4,,2024-12-02 08:32:13
48800,71,5,,2024-12-02 19:34:09
48801,72,5,菜品鲜美，非常足，我非常开心！,2024-12-01 14:34:47
48802,73,5,食材色香俱佳，软硬适中，味道真的特别好吃！,2024-12-02 00:35:34
48803,75,4,,2024-12-01 18:35:50
48804,76,5,价格便宜实惠，不亏，性价比超高！,2024-12-03 09:36:13
48805,77,5,价格合理，物超所值，性价比超高！,2024-12-02 00:37:26
48806,78,5,,2024-12-02 13:37:33
48807,79,2,菜品寡淡，分量少，让我很遗憾。,2024-12-03 05:37:51
48808,82,5,菜品可口，适中，我非常满足！,2024-12-02 20:41:20
48809,83,5,,2024-12-03 03:41:40
48810,84,4,,2024-12-01 16:42:33
48811,86,5,,2024-12-03 11:43:33
48812,87,5,配送非常快，服务态度周到，体验完美。,2024-12-02 21:44:38
48813,88,4,,2024-12-02 12:44:51
48814,89,4,,2024-12-02 11:45:38
48815,90,5,送餐员专业，服务真的一级棒。,2024-12-03 05:45:54
48816,91,4,,2024-12-03 07:46:09
48817,93,5,,2024-12-03 07:47:14
48818,95,4,,2024-12-03 03:49:03
48819,96,5,,2024-12-02 08:49:39
48820,97,1,服务员冷漠，态度让我生气。,2024-12-02 18:49:43
48821,99,5,,2024-12-03 06:50:14
48822,101,4,,2024-12-02 14:50:43
48823,103,4,整体体验特别好，特别无可挑剔！,2024-12-01 17:51:11
48824,104,4,太好吃了，完全超预期！,2024-12-03 07:52:00
48825,106,1,,2024-12-01 22:53:46
48826,107,5,整体体验非常棒，特别推荐！,2024-12-02 06:54:51
48827,108,4,第一次尝试，比预期好，会再来光顾。,2024-12-01 22:54:55
48828,109,5,,2024-12-03 10:56:00
48829,113,4,整体体验五星好评，特别推荐！,2024-12-01 19:58:28
48830,115,5,配送非常快，服务态度周到，体验无可挑剔。,2024-12-03 05:59:44
48831,116,5,,2024-12-03 05:00:05
48832,118,5,整体体验非常棒，特别无可挑剔！,2024-12-02 20:01:46
48833,119,2,本来期望充满期待，结果太普通了。,2024-12-03 01:03:03
48834,122,4,,2024-12-03 03:05:35
48835,123,4,,2024-12-03 00:06:59
48836,124,5,,2024-12-02 03:07:10
48837,125,5,第一次尝试，值得推荐，会推荐给朋友。,2024-12-02 01:07:45
48838,126,5,,2024-12-02 09:08:10
48839,131,3,,2024-12-02 03:10:26
48840,133,4,,2024-12-02 01:11:01
48841,134,4,,2024-12-02 07:12:02
48842,135,4,,2024-12-01 18:12:19
48843,136,5,,2024-12-02 10:12:26
48844,137,4,食材充满活力，有嚼劲，味道真的让人回味！,2024-12-03 09:14:00
48845,138,5,配送准时，服务态度周到，体验很棒。,2024-12-02 00:14:07
48846,139,5,,2024-12-02 08:14:20
48847,141,5,,2024-12-02 04:15:05
48848,145,4,,2024-12-02 08:16:52
48849,146,4,,2024-12-01 17:17:13
48850,147,4,,2024-12-01 23:17:21
48851,148,4,,2024-12-03 04:17:44
48852,149,1,本来期望期待满满，结果与描述不符。,2024-12-02 10:18:10
48853,150,5,,2024-12-03 01:19:13
48854,154,4,送餐员热心，服务真的很贴心。,2024-12-02 13:19:44
48855,155,4,第一次尝试，值得推荐，会再次购买。,2024-12-01 23:20:05
48856,156,5,太让人陶醉了，意外地好！,2024-12-02 18:20:52
48857,157,4,,2024-12-02 07:21:18
48858,160,5,,2024-12-01 15:23:15
48859,161,4,第一次尝试，值得推荐，会继续支持。,2024-12-01 19:23:16
48860,162,4,太好吃了，出乎意料！,2024-12-02 14:24:07
48861,163,4,,2024-12-02 01:24:45
48862,165,5,配送准时，服务态度专业，体验很棒。,2024-12-02 22:25:49
48863,166,4,餐厅环境整洁，用餐氛围特别棒。,2024-12-02 23:26:17
48864,169,4,餐厅环境温馨，用餐氛围特别棒。,2024-12-02 10:27:37
48865,170,4,,2024-12-01 18:27:57
