order_item_id,order_id,dish_id,quantity,dish_price
1,1,16,1,17.5
2,1,8,1,7.0
3,1,43,1,13.3
4,2,22,1,21.0
5,2,10,1,8.4
6,2,49,1,12.25
7,3,35,1,13.3
8,4,18,1,12.25
9,4,44,1,17.5
10,4,26,1,10.5
11,5,23,1,14.7
12,5,47,1,16.8
13,5,48,1,8.75
14,6,20,1,12.6
15,6,33,1,7.0
16,7,22,1,21.0
17,7,24,1,11.2
18,8,3,1,19.25
19,8,19,1,10.5
20,8,14,1,11.2
21,9,44,1,17.5
22,9,24,1,11.2
23,10,22,1,21.0
24,11,24,1,11.2
25,11,30,1,20.3
26,11,32,1,12.25
27,12,18,1,12.25
28,12,42,1,6.3
29,12,17,1,9.8
30,13,46,1,21.0
31,14,34,1,16.8
32,14,30,1,20.3
33,15,19,1,10.5
34,16,23,1,14.7
35,16,49,1,12.25
36,17,9,1,13.3
37,17,30,1,20.3
38,17,4,1,8.75
39,18,35,1,13.3
40,18,3,1,19.25
41,19,47,1,16.8
42,19,1,1,12.25
43,19,25,1,16.8
44,20,3,1,19.25
45,20,13,1,7.0
46,21,22,1,21.0
47,21,17,1,9.8
48,21,21,1,20.3
49,22,26,1,10.5
50,22,19,1,10.5
51,22,18,1,12.25
52,23,41,1,9.8
53,23,13,1,7.0
54,23,33,1,7.0
55,24,25,1,16.8
56,25,8,1,7.0
57,26,35,1,13.3
58,26,28,1,7.7
59,26,30,1,20.3
60,27,16,1,17.5
61,28,14,1,11.2
62,28,42,1,6.3
63,28,35,1,13.3
64,29,43,1,13.3
65,29,35,1,13.3
66,30,40,1,14.7
67,30,22,1,21.0
68,30,42,1,6.3
69,31,25,1,16.8
70,31,36,1,6.3
71,31,1,1,12.25
72,32,44,1,17.5
73,33,3,1,19.25
74,34,18,1,12.25
75,34,23,1,14.7
76,34,27,1,15.75
77,35,11,1,9.1
78,35,38,1,12.6
79,35,28,1,7.7
80,36,9,1,13.3
81,36,3,1,19.25
82,36,43,1,13.3
83,37,4,1,8.75
84,37,34,1,16.8
85,37,26,1,10.5
86,38,28,1,7.7
87,39,9,1,13.3
88,39,33,1,7.0
89,39,7,1,7.7
90,40,14,1,11.2
91,40,37,1,15.75
92,41,26,1,10.5
93,41,41,1,9.8
94,42,8,1,7.0
95,42,33,1,7.0
96,43,14,1,11.2
97,44,19,1,10.5
98,45,17,1,9.8
99,45,12,1,16.8
100,46,22,1,21.0
101,47,25,1,16.8
102,47,33,1,7.0
103,47,14,1,11.2
104,48,22,1,21.0
105,48,11,1,9.1
106,48,3,1,19.25
107,49,2,1,15.75
108,49,26,1,10.5
109,50,25,1,16.8
110,50,30,1,20.3
111,50,2,1,15.75
112,51,26,1,10.5
113,52,21,1,20.3
114,53,41,1,9.8
115,53,33,1,7.0
116,54,5,1,10.5
117,55,46,1,21.0
118,55,40,1,14.7
119,55,12,1,16.8
120,56,10,1,8.4
121,56,32,1,12.25
122,56,40,1,14.7
123,57,40,1,14.7
124,58,21,1,20.3
125,58,25,1,16.8
126,58,11,1,9.1
127,59,10,1,8.4
128,59,43,1,13.3
129,59,33,1,7.0
130,60,9,1,13.3
131,60,42,1,6.3
132,61,5,1,10.5
133,61,42,1,6.3
134,61,35,1,13.3
135,62,44,1,17.5
136,63,29,1,18.2
137,63,25,1,16.8
138,63,34,1,16.8
139,64,46,1,21.0
140,65,14,1,11.2
141,66,26,1,10.5
142,66,19,1,10.5
143,66,45,1,19.25
144,67,7,1,7.7
145,67,40,1,14.7
146,68,3,1,19.25
147,69,49,1,12.25
148,70,35,1,13.3
149,70,1,1,12.25
150,70,48,1,8.75
151,71,26,1,10.5
152,71,18,1,12.25
153,72,5,1,10.5
154,73,13,1,7.0
155,74,11,1,9.1
156,75,12,1,16.8
157,75,38,1,12.6
158,75,4,1,8.75
159,76,13,1,7.0
160,76,46,1,21.0
161,77,7,1,7.7
162,77,4,1,8.75
163,77,39,1,14.0
164,78,14,1,11.2
165,78,1,1,12.25
166,78,13,1,7.0
167,79,37,1,15.75
168,79,45,1,19.25
169,80,4,1,8.75
170,80,17,1,9.8
171,80,29,1,18.2
172,81,25,1,16.8
173,81,6,1,9.8
174,82,11,1,9.1
175,83,22,1,21.0
176,84,44,1,17.5
177,84,11,1,9.1
178,84,34,1,16.8
179,85,20,1,12.6
180,85,47,1,16.8
181,86,33,1,7.0
182,86,30,1,20.3
183,86,29,1,18.2
184,87,29,1,18.2
185,87,44,1,17.5
186,87,17,1,9.8
187,88,13,1,7.0
188,89,45,1,19.25
189,89,49,1,12.25
190,90,37,1,15.75
191,90,38,1,12.6
192,90,3,1,19.25
193,91,35,1,13.3
194,92,32,1,12.25
195,92,22,1,21.0
196,92,27,1,15.75
197,93,12,1,16.8
198,93,24,1,11.2
199,94,17,1,9.8
200,95,22,1,21.0
201,95,16,1,17.5
202,96,10,1,8.4
203,96,41,1,9.8
204,97,19,1,10.5
205,97,16,1,17.5
206,97,4,1,8.75
207,98,15,1,6.3
208,98,2,1,15.75
209,98,27,1,15.75
210,99,19,1,10.5
211,99,4,1,8.75
212,100,28,1,7.7
213,100,27,1,15.75
214,100,38,1,12.6
215,101,17,1,9.8
216,102,37,1,15.75
217,103,35,1,13.3
218,103,46,1,21.0
219,104,25,1,16.8
220,104,34,1,16.8
221,105,37,1,15.75
222,105,39,1,14.0
223,106,46,1,21.0
224,106,6,1,9.8
225,107,17,1,9.8
226,108,43,1,13.3
227,108,14,1,11.2
228,109,13,1,7.0
229,110,46,1,21.0
230,111,6,1,9.8
231,111,15,1,6.3
232,112,32,1,12.25
233,113,28,1,7.7
234,113,22,1,21.0
235,114,23,1,14.7
236,114,48,1,8.75
237,114,15,1,6.3
238,115,44,1,17.5
239,115,5,1,10.5
240,115,48,1,8.75
241,116,3,1,19.25
242,117,26,1,10.5
243,117,10,1,8.4
244,118,11,1,9.1
245,119,33,1,7.0
246,119,15,1,6.3
247,119,24,1,11.2
248,120,40,1,14.7
249,120,28,1,7.7
250,121,41,1,9.8
