order_id,user_id,order_time,status,total_amount
1,13,2024-12-01 11:01:02,已出餐,37.8
2,200,2024-12-01 11:01:19,已出餐,41.65
3,963,2024-12-01 11:01:23,已出餐,13.3
4,914,2024-12-01 11:01:34,已出餐,40.25
5,579,2024-12-01 11:01:57,已出餐,40.25
6,153,2024-12-01 11:02:10,已出餐,19.6
7,126,2024-12-01 11:02:14,已出餐,32.2
8,172,2024-12-01 11:02:26,已出餐,40.95
9,482,2024-12-01 11:02:35,已出餐,28.7
10,792,2024-12-01 11:03:21,已出餐,21.0
11,314,2024-12-01 11:03:45,已出餐,43.75
12,296,2024-12-01 11:03:47,已出餐,28.35
13,535,2024-12-01 11:04:17,已出餐,21.0
14,685,2024-12-01 11:04:38,已出餐,37.1
15,721,2024-12-01 11:05:11,已出餐,10.5
16,451,2024-12-01 11:05:25,已出餐,26.95
17,90,2024-12-01 11:05:32,已出餐,42.35
18,196,2024-12-01 11:06:02,已出餐,32.55
19,711,2024-12-01 11:07:56,已出餐,45.85
20,767,2024-12-01 11:08:51,已出餐,26.25
21,602,2024-12-01 11:09:03,已出餐,51.1
22,707,2024-12-01 11:10:03,已出餐,33.25
23,629,2024-12-01 11:10:06,已出餐,23.8
24,1023,2024-12-01 11:11:45,已出餐,16.8
25,1028,2024-12-01 11:11:50,已出餐,7.0
26,972,2024-12-01 11:12:23,已出餐,41.3
27,673,2024-12-01 11:12:45,已出餐,17.5
28,448,2024-12-01 11:12:59,已出餐,30.8
29,221,2024-12-01 11:13:32,已出餐,26.6
30,861,2024-12-01 11:13:57,已出餐,42.0
31,343,2024-12-01 11:14:05,已出餐,35.35
32,229,2024-12-01 11:14:22,已出餐,17.5
33,114,2024-12-01 11:15:22,已出餐,19.25
34,986,2024-12-01 11:17:38,已出餐,42.7
35,185,2024-12-01 11:18:29,已出餐,29.4
36,168,2024-12-01 11:18:56,已出餐,45.85
37,284,2024-12-01 11:19:04,已出餐,36.05
38,915,2024-12-01 11:19:18,已出餐,7.7
39,423,2024-12-01 11:19:42,已出餐,28.0
40,470,2024-12-01 11:19:52,已出餐,26.95
41,1082,2024-12-01 11:20:07,已出餐,20.3
42,697,2024-12-01 11:20:52,已出餐,14.0
43,241,2024-12-01 11:21:01,已出餐,11.2
44,214,2024-12-01 11:21:31,已出餐,10.5
