material_id,name,allergens,calorie,carbon_emission,protein,fat,carbohydrate
1,花生,花生,5.3,0.02,0.28,0.48,0.14
2,小麦,小麦,3.29,0.03,0.14,0.02,0.68
3,胡萝卜,,0.42,0.0,0.02,0.01,0.1
4,牛奶,牛奶,0.38,0.02,0.04,0.02,0.05
5,花生,花生,5.73,0.02,0.26,0.46,0.16
6,鸡肉,,2.28,0.08,0.29,0.13,0.01
7,胡萝卜,,0.4,0.0,0.01,0.01,0.11
8,牛肉,,2.44,0.25,0.28,0.14,0.0
9,猪肉,,2.24,0.12,0.23,0.16,0.0
10,牛奶,牛奶,0.47,0.03,0.03,0.02,0.05
11,黄瓜,,0.13,0.0,0.01,0.01,0.04
12,牛奶,牛奶,0.36,0.02,0.03,0.01,0.05
13,牛肉,,2.55,0.28,0.25,0.18,0.01
14,鸡肉,,2.53,0.07,0.27,0.13,0.0
15,小麦,小麦,2.91,0.01,0.13,0.03,0.68
16,白菜,,0.12,0.01,0.01,0.01,0.01
17,胡萝卜,,0.41,0.01,0.02,0.0,0.1
18,白菜,,0.11,0.0,0.01,0.01,0.02
19,鸡肉,,2.3,0.07,0.29,0.15,0.0
20,西红柿,,0.2,0.0,0.02,0.01,0.03
21,鸡肉,,2.55,0.06,0.28,0.12,0.0
22,牛奶,牛奶,0.38,0.01,0.04,0.01,0.04
23,鸡肉,,2.46,0.07,0.28,0.13,0.01
24,牛肉,,2.42,0.26,0.25,0.15,0.01
25,黄瓜,,0.13,0.0,0.01,0.0,0.05
26,黄瓜,,0.18,0.0,0.02,0.0,0.05
27,牛肉,,2.46,0.27,0.27,0.14,0.0
28,牛奶,牛奶,0.47,0.01,0.03,0.02,0.04
29,牛肉,,2.4,0.28,0.27,0.17,0.0
30,鸡肉,,2.32,0.07,0.28,0.13,0.0
31,鸡蛋,鸡蛋,1.37,0.05,0.11,0.11,0.01
32,花生,花生,5.55,0.04,0.26,0.46,0.15
33,猪肉,,2.44,0.12,0.21,0.16,0.0
34,牛奶,牛奶,0.49,0.02,0.03,0.02,0.06
35,大豆,大豆,4.39,0.02,0.4,0.19,0.31
36,西红柿,,0.22,0.0,0.02,0.0,0.04
37,黄瓜,,0.16,0.0,0.02,0.0,0.04
38,大豆,大豆,4.44,0.01,0.36,0.22,0.28
39,猪肉,,2.44,0.14,0.22,0.13,0.0
40,胡萝卜,,0.43,0.01,0.01,0.0,0.1
41,猪肉,,2.31,0.11,0.22,0.15,0.01
42,白菜,,0.16,0.0,0.02,0.0,0.02
43,鸡肉,,2.18,0.06,0.28,0.14,0.01
44,白菜,,0.13,0.0,0.02,0.01,0.02
45,鸡蛋,鸡蛋,1.29,0.04,0.12,0.1,0.01
46,大豆,大豆,4.22,0.02,0.35,0.17,0.3
47,胡萝卜,,0.41,0.0,0.01,0.01,0.08
48,大豆,大豆,4.8,0.02,0.35,0.21,0.3
49,鸡肉,,2.22,0.07,0.29,0.15,0.01
50,胡萝卜,,0.43,0.02,0.02,0.01,0.09
51,鸡蛋,鸡蛋,1.48,0.05,0.13,0.13,0.01
52,白菜,,0.14,0.0,0.01,0.0,0.02
53,花生,花生,5.18,0.04,0.27,0.49,0.14
54,小麦,小麦,3.07,0.02,0.14,0.03,0.72
55,鸡肉,,2.57,0.06,0.29,0.13,0.0
56,黄瓜,,0.18,0.0,0.01,0.01,0.04
57,猪肉,,2.46,0.1,0.21,0.13,0.0
58,西红柿,,0.23,0.0,0.02,0.0,0.03
59,花生,花生,5.15,0.02,0.28,0.47,0.17
60,西红柿,,0.23,0.0,0.01,0.01,0.04
61,白菜,,0.13,0.01,0.02,0.0,0.01
62,花生,花生,5.14,0.03,0.23,0.45,0.17
63,猪肉,,2.44,0.1,0.21,0.16,0.0
64,鸡蛋,鸡蛋,1.36,0.06,0.13,0.1,0.02
65,猪肉,,2.55,0.11,0.2,0.15,0.01
66,白菜,,0.12,0.0,0.02,0.0,0.02
67,西红柿,,0.21,0.0,0.01,0.0,0.05
68,牛肉,,2.42,0.27,0.27,0.14,0.01
69,胡萝卜,,0.37,0.0,0.02,0.0,0.09
70,白菜,,0.14,0.0,0.01,0.01,0.02
71,牛肉,,2.5,0.27,0.27,0.14,0.01
72,牛肉,,2.58,0.27,0.28,0.14,0.0
73,胡萝卜,,0.39,0.02,0.02,0.01,0.08
74,牛肉,,2.51,0.28,0.26,0.17,0.01
75,猪肉,,2.31,0.13,0.23,0.14,0.01
76,黄瓜,,0.18,0.01,0.02,0.0,0.03
77,鸡肉,,2.46,0.07,0.24,0.14,0.0
78,花生,花生,5.55,0.04,0.25,0.51,0.15
79,胡萝卜,,0.4,0.02,0.01,0.01,0.1
80,牛肉,,2.51,0.27,0.24,0.14,0.01
81,黄瓜,,0.18,0.01,0.02,0.01,0.03
82,胡萝卜,,0.38,0.0,0.02,0.01,0.08
83,白菜,,0.14,0.0,0.01,0.0,0.01
84,鸡肉,,2.67,0.07,0.27,0.14,0.01
85,牛肉,,2.8,0.28,0.28,0.13,0.0
86,小麦,小麦,3.58,0.01,0.11,0.01,0.7
87,鸡蛋,鸡蛋,1.63,0.06,0.13,0.11,0.02
88,胡萝卜,,0.46,0.01,0.02,0.01,0.11
89,小麦,小麦,3.02,0.02,0.12,0.03,0.68
90,鸡肉,,2.52,0.07,0.26,0.16,0.0
91,西红柿,,0.21,0.01,0.02,0.01,0.05
92,猪肉,,2.42,0.12,0.23,0.15,0.01
93,西红柿,,0.22,0.01,0.01,0.01,0.04
94,西红柿,,0.17,0.0,0.01,0.0,0.03
